"name","region","totalSum","theoretical","practical","development","services","workers","scientists","womenScientists","t25","f25t29","f30t34","f35t39","f40t44","f45t49","f50t54","f55t59","f60t64","f65t69","f70","group","menScientists","theorandpract","young","old"
"ДЕРЖАВНА УСТАНОВА ""ІНСТИТУТ ХАРЧОВОЇ БІОТЕХНОЛОГІЇ ТА ГЕНОМІКИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","Киев",9066.6,7005.2,2051.4,10,0,89,54,30,0,11,12,6,5,3,2,3,5,3,4,"природничі науки",24,9056.6,37,17
"ДЕРЖАВНА УСТАНОВА ""ВІДДІЛЕННЯ БІОТЕХНІЧНИХ ПРОБЛЕМ ДІАГНОСТИКИ ІНСТИТУТУ ПРОБЛЕМ КРІОБІОЛОГІЇ І КРІОМЕДИЦИНИ НАН УКРАЇНИ""","Киев",1541.3,1326,215.3,0,0,24,13,8,2,1,0,1,2,1,2,2,1,0,1,"природничі науки",5,1541.3,7,6
"ІНСТИТУТ КЛІТИННОЇ БІОЛОГІЇ ТА ГЕНЕТИЧНОЇ ІНЖЕНЕРІЇ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",8058.6,6469.1,1236.3,0,353.2,110,61,37,1,10,7,6,8,6,6,7,5,4,1,"природничі науки",24,7705.4,38,23
"ІНСТИТУТ ГЕОЛОГІЧНИХ НАУК НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",22378.7,17929.8,4397.1,0,51.8,255,200,112,3,8,17,15,10,15,15,14,31,27,45,"природничі науки",88,22326.9,68,132
"ІНСТИТУТ ГЕОХІМІЇ, МІНЕРАЛОГІЇ ТА РУДОУТВОРЕННЯ ІМЕНІ М.П.СЕМЕНЕНКА НАН УКРАЇНИ","Киев",14027.4,11120.2,2907.2,0,0,238,157,67,0,12,11,17,8,17,14,14,21,22,21,"природничі науки",90,14027.4,65,92
"НАУКОВО-ІНЖЕНЕРНИЙ ЦЕНТР РАДІОГІДРОГЕОЕКОЛОГІЧНИХ ПОЛІГОННИХ ДОСЛІДЖЕНЬ ПРИ ПРЕЗИДІЇ НАН УКРАЇНИ","Киев",7894.4,885.2,7009.2,0,0,34,22,11,1,0,0,3,1,2,3,3,4,2,3,"природничі науки",11,7894.4,7,15
"ДЕРЖАВНА НАУКОВА УСТАНОВА ""ВІДДІЛЕННЯ МОРСЬКОЇ ГЕОЛОГІЇ ТА ОСАДОЧНОГО РУДОУТВОРЕННЯ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","Киев",4486.4,4325.4,0,0,161,71,28,11,0,2,2,0,3,0,1,1,3,4,12,"природничі науки",17,4325.4,7,21
"ІНСТИТУТ ГЕОЛОГІЇ І ГЕОХІМІЇ ГОРЮЧИХ КОПАЛИН НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Львов",9093.8,7608.5,1485.3,0,0,222,143,89,0,11,15,19,10,14,12,14,15,15,18,"природничі науки",54,9093.8,69,74
"КАРПАТСЬКЕ ВІДДІЛЕННЯ ІНСТИТУТУ ГЕОФІЗИКИ ІМ.С.І.СУББОТІНА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Львов",3276,2448.6,808,0,19.4,56,42,13,0,3,2,3,3,8,5,8,3,3,4,"природничі науки",29,3256.6,19,23
"ВІДДІЛ СЕЙСМІЧНОСТІ КАРПАТСЬКОГО РЕГІОНУ ІНСТИТУТУ ГЕОФІЗИКИ ІМ. С.І. СУББОТІНА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Львов",4492.4,3511.5,315.8,665.1,0,86,48,22,0,2,2,4,3,10,8,11,2,2,4,"природничі науки",26,3827.3,21,27
"ІНСТИТУТ ГЕОФІЗИКИ ІМ. С.І.СУББОТІНА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",30178.9,24063.1,5507.6,608.2,0,346,203,100,0,8,13,13,19,12,15,22,27,24,50,"природничі науки",103,29570.7,65,138
"ПІВДЕННИЙ НАУКОВИЙ ЦЕНТР НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ І МІНОСВІТИ І НАУКИ УКРАЇНИ","Одесса",613.6,0,568.6,0,45,8,5,3,0,0,0,0,3,0,0,0,0,1,1,"природничі науки",2,568.6,3,2
"ІНСТИТУТ ГЕОГРАФІЇ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",6125.9,5875.9,250,0,0,88,61,31,1,10,8,12,4,2,1,5,7,5,6,"природничі науки",30,6125.9,37,24
"ЛУГАНСЬКИЙ ПРИРОДНИЙ ЗАПОВІДНИК НАН УКРАЇНИ","Луганск",933.5,783.7,149.8,0,0,27,10,6,0,1,3,1,1,2,1,1,0,0,0,"природничі науки",4,933.5,8,2
"ІНСТИТУТ ЕКСПЕРИМЕНТАЛЬНОЇ ПАТОЛОГІЇ, ОНКОЛОГІЇ І РАДІОБІОЛОГІЇ ІМ.Р.Ї.КАВЕЦЬКОГО НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",18892.2,14349.7,3621.8,916.5,4.2,247,169,110,20,22,13,6,10,6,20,20,19,11,22,"природничі науки",59,17971.5,77,92
"МІЖНАРОДНИЙ ЦЕНТР АСТРОНОМІЧНИХ ТА МЕДИКО-ЕКОЛОГІЧНИХ ДОСЛІДЖЕНЬ ПРИ ПРЕЗИДІЇ НАН УКРАЇНИ","Киев",5482.8,5482.8,0,0,0,34,25,11,0,0,1,1,3,3,5,2,1,2,7,"природничі науки",14,5482.8,8,17
"ДЕРЖАВНЕ ПІДПРИЇМСТВО ""ДОСЛІДНИЙ ЗАВОД СПЕЦЕЛЕКТРОМЕТАЛУРГІЇ ІНСТИТУТУ ЕЛЕКТРОЗВАРЮВАННЯ ІМ. Ї.О. ПАТОНА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","Киев",17938,0,0,17938,0,86,20,10,0,0,1,2,3,2,3,2,3,2,2,"природничі науки",10,0,8,12
"ІНСТИТУТ ПРОБЛЕМ БЕЗПЕКИ АТОМНИХ ЕЛЕКТРОСТАНЦІЙ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев. Область",40057,0,40057,0,0,320,138,29,0,14,7,10,9,3,15,17,35,15,13,"технічні",109,40057,43,95
"ФІЗИКО-МЕХАНІЧНИЙ ІНСТИТУТ ІМ.Г.В.КАРПЕНКА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Львов",25589.2,18396.9,5724.2,1095.9,372.2,419,263,83,3,21,40,21,19,6,18,32,30,44,29,"технічні",180,24121.1,110,153
"ІНСТИТУТ МОНОКРИСТАЛІВ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Харьков",16910.3,7099.3,3674.9,5143.1,993,170,73,17,0,1,8,11,9,4,14,7,6,9,4,"технічні",56,10774.2,33,40
"ІНСТИТУТ ПРОБЛЕМ МАТЕРІАЛОЗНАВСТВА ІМ. І. М. ФРАНЦЕВИЧА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",73718.5,62499.9,9457.7,0,1760.9,1290,771,435,1,33,74,48,52,49,66,92,91,90,175,"технічні",336,71957.6,257,514
"НАУКОВО-ІНЖЕНЕРНИЙ ЦЕНТР ""МАТЕРІАЛООБРОБКА ВИБУХОМ"" ІНСТИТУТУ ЕЛЕКТРОЗВАРЮВАННЯ ІМ.ПАТОНА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев. Область",959,0,0,959,0,21,4,0,0,0,0,0,0,0,0,0,3,0,1,"технічні",4,0,0,4
"ІНСТИТУТ ЕЛЕКТРОЗВАРЮВАННЯ ІМ. Ї.О. ПАТОНА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",115450.2,85540.8,19575.7,6131.8,4201.9,1386,680,146,12,61,53,55,35,24,64,73,90,95,118,"технічні",534,105116.5,240,440
"ДЕРЖАВНЕ ПІДПРИЇМСТВО ""НАУКОВО-ІНЖЕНЕРНИЙ ЦЕНТР ЗВАРЮВАННЯ ТА КОНТРОЛЮ В ГАЛУЗІ АТОМНОЇ ЕНЕРГЕТИКИ УКРАЇНИ ІНСТИТУТУ ЕЛЕКТРОЗВАРЮВАННЯ ІМ.Ї.О.ПАТОНА НАН УКРАЇНИ""","Киев",3170.1,0,0,360,2810.1,15,12,1,0,3,0,0,0,1,0,0,1,2,5,"технічні",11,0,4,8
"ІНСТИТУТ ПРОБЛЕМ МАШИНОБУДУВАННЯ ІМ.А.М.ПІДГОРНОГО НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Харьков",18002.5,14987.7,2815.9,198.9,0,295,144,39,0,9,11,11,14,8,16,17,21,17,20,"технічні",105,17803.6,53,91
"ДЕРЖАВНЕ ПІДПРИЇМСТВО ""СПЕЦІАЛЬНЕ КОНСТРУКТОРСЬКО-ТЕХНОЛОГІЧНЕ БЮРО ІНСТИТУТУ ПРОБЛЕМ МІЦНОСТІ ІМ. Г.С. ПИСАРЕНКА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","Киев",2702.6,0,0,2702.6,0,43,5,0,0,0,0,0,0,0,0,1,2,2,0,"технічні",5,0,0,5
"ДЕРЖАВНЕ ПІДПРИЇМСТВО ""ДОСЛІДНЕ ВИРОБНИЦТВО ІНСТИТУТУ ПРОБЛЕМ МАШИНОБУДУВАННЯ ІМ. А. М. ПІДГОРНОГО НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","Харьков",679.1,0,0,679.1,0,21,3,1,0,0,0,0,0,1,0,1,1,0,0,"технічні",2,0,1,2
"""НАУКОВИЙ ЦЕНТР АЕРОКОСМІЧНИХ ДОСЛІДЖЕНЬ ЗЕМЛІ ІНСТИТУТУ ГЕОЛОГІЧНИХ НАУК НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","Киев",8579.9,6906.9,1673,0,0,88,72,35,3,7,5,5,4,2,8,7,12,8,11,"технічні",37,8579.9,26,46
"ІНСТИТУТ КОСМІЧНИХ ДОСЛІДЖЕНЬ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ ТА ДЕРЖАВНОГО КОСМІЧНОГО АГЕНТСТВА УКРАЇНИ","Киев",10102.3,4922.9,5179.4,0,0,75,45,16,1,8,6,3,2,1,4,4,7,2,7,"технічні",29,10102.3,21,24
"ДЕРЖАВНЕ ПІДПРИЇМСТВО ""ІНЖЕНЕРНИЙ ЦЕНТР ЗВАРЮВАННЯ ТИСКОМ НТК "" ІНСТИТУТ ЕЛЕКТРОЗВАРЮВАННЯ ІМ. Ї.О. ПАТОНА НАН УКРАЇНИ""","Киев",13100,0,0,10447.7,2652.3,35,4,0,0,0,0,0,0,0,0,0,0,1,3,"технічні",4,0,0,4
"ДЕРЖАВНА УСТАНОВА ""ІНСТИТУТ ТЕХНІЧНИХ ПРОБЛЕМ МАГНЕТИЗМУ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","Харьков",3066.1,2416.1,520.5,129.5,0,38,17,5,0,2,1,0,2,2,1,3,3,2,1,"технічні",12,2936.6,7,10
"ІНСТИТУТ ЕЛЕКТРОДИНАМІКИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",34756,32429.9,0,2298.5,27.6,437,209,36,0,6,20,9,11,9,21,23,36,34,40,"технічні",173,32429.9,55,154
"ДЕРЖАВНА УСТАНОВА НАЦІОНАЛЬНИЙ АНТАРКТИЧНИЙ НАУКОВИЙ ЦЕНТР","Киев",7658.7,7658.7,0,0,0,34,14,8,0,2,3,1,1,1,1,1,1,2,1,"технічні",6,7658.7,8,6
"ІНСТИТУТ ЧОРНОЇ МЕТАЛУРГІЇ ІМ.З.І.НЕКРАСОВА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Днепр",17937,17937,0,0,0,261,142,49,2,18,22,20,7,7,7,14,10,13,22,"технічні",93,17937,76,66
"ДЕРЖАВНЕ МАЛЕ ПІДПРИЇМСТВО ""ГАЗОТЕРМІК""","Львов",568,0,0,568,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,"технічні",1,0,0,1
"ІНСТИТУТ ІМПУЛЬСНИХ ПРОЦЕСІВ І ТЕХНОЛОГІЙ НАН УКРАЇНИ","Николаев",10539.7,5373.1,1056.4,4110.2,0,163,81,30,1,17,4,7,2,3,3,5,17,15,7,"технічні",51,6429.5,34,47
"""МІЖНАРОДНИЙ ЦЕНТР ЕЛЕКТРОННО-ПРОМЕНЕВИХ ТЕХНОЛОГІЙ ІНСТИТУТУ ЕЛЕКТРОЗВАРЮВАННЯ ІМ. Є.О. ПАТОНА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","Киев",21891.5,0,0,20887.2,1004.3,28,15,2,3,0,2,1,0,1,2,3,0,2,1,"технічні",13,0,7,8
"ІНСТИТУТ НАДТВЕРДИХ МАТЕРІАЛІВ ІМ. В.М. БАКУЛЯ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",33266,21731.7,5718.1,5743.7,72.5,385,196,51,0,11,31,19,5,10,7,29,41,24,19,"технічні",145,27449.8,76,120
"ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЇМСТВО ""АЛКОН-ТВЕРДОСПЛАВ"" НАУКОВО-ТЕХНОЛОГІЧНОГО АЛМАЗНОГО КОНЦЕРНУ ""АЛКОН"" НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",2152.6,0,0,2152.6,0,24,1,0,0,0,0,0,0,0,0,0,0,1,0,"технічні",1,0,0,1
"ДЕРЖАВНЕ СПЕЦІАЛЬНЕ КОНСТРУКТОРСЬКО-ТЕХНОЛОГІЧНЕ БЮРО ФІЗИЧНОГО ПРИЛАДОБУДУВАННЯ З ДОСЛІДНИМ ВИРОБНИЦТВОМ ІНСТИТУТУ ФІЗИКИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",367.6,0,0,112.7,254.9,7,5,2,0,0,0,0,0,2,2,0,1,0,0,"технічні",3,0,2,3
"НАУКОВО-ТЕХНІЧНИЙ ЦЕНТР ПАНОРАМНИХ АКУСТИЧНИХ СИСТЕМ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Запорожье",1858,1079.9,778.1,0,0,39,28,13,1,4,5,4,1,0,4,1,2,2,4,"технічні",15,1858,15,13
"ЛЬВІВСЬКИЙ ЦЕНТР ІНСТИТУТУ КОСМІЧНИХ ДОСЛІДЖЕНЬ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ ТА НАЦІОНАЛЬНОГО КОСМІЧНОГО АГЕНТСТВА УКРАЇНИ","Львов",1382,410,972,0,0,73,26,3,0,0,1,0,5,0,1,1,4,9,5,"технічні",23,1382,6,20
"ІНСТИТУТ СЦИНТИЛЯЦІЙНИХ МАТЕРІАЛІВ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Харьков",28776.1,7217.9,2199.7,19217.9,140.6,312,124,48,3,12,15,23,5,18,11,10,9,12,6,"технічні",76,9417.6,76,48
"ДЕРЖАВНЕ ПІДПРИЇМСТВО ""НАУКОВО-ТЕХНІЧНИЙ ЦЕНТР НОВІТНІХ ТЕХНОЛОГІЙ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","Киев",81.7,0,0,81.7,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,"технічні",1,0,1,0
"СПЕЦІАЛЬНЕ КОНСТРУКТОРСЬКО-ТЕХНОЛОГІЧНЕ БЮРО ІНСТИТУТУ ТЕХНІЧНОЇ МЕХАНІКИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Днепр",97.9,0,0,97.9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,"технічні",1,0,0,1
"ІНСТИТУТ ПРОБЛЕМ РЕЇСТРАЦІЇ ІНФОРМАЦІЇ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",16381.4,9677.6,6471.9,115.6,116.3,169,77,27,0,5,1,3,7,8,9,8,11,17,8,"технічні",50,16149.5,24,53
"ДЕРЖАВНЕ ПІДПРИЇМСТВО ""НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ МІКРОПРИЛАДІВ"" НТК ""ІНСТИТУТ МОНОКРИСТАЛІВ"" НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",310.8,0,0,293.7,17.1,60,24,4,0,0,3,1,0,0,0,1,7,4,8,"технічні",20,0,4,20
"ІНСТИТУТ ЗАГАЛЬНОЇ ЕНЕРГЕТИКИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",6845.6,5298.9,1546.7,0,0,93,54,23,0,3,5,1,0,4,13,5,3,8,12,"технічні",31,6845.6,13,41
"ВІДДІЛЕННЯ ГІБРИДНИХ МОДЕЛЮЮЧИХ ТА КЕРУЮЧИХ СИСТЕМ В ЕНЕРГЕТИЦІ ІНСТИТУТУ ПРОБЛЕМ МОДЕЛЮВАННЯ В ЕНЕРГЕТИЦІ ІМ. Г.Ї. ПУХОВА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",1182,1020.3,161.7,0,0,17,10,6,0,0,1,3,0,0,1,2,0,0,3,"технічні",4,1182,4,6
"ІНСТИТУТ ВУГІЛЬНИХ ЕНЕРГОТЕХНОЛОГІЙ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",9056.9,5260.3,1199,2597.6,0,80,48,14,0,2,5,2,2,4,3,8,4,9,9,"технічні",34,6459.3,15,33
"ІНСТИТУТ ГАЗУ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",16550.2,10639.8,3155.9,2754.5,0,233,105,15,0,11,8,10,7,3,3,11,12,7,33,"технічні",90,13795.7,39,66
"ІНСТИТУТ ТЕХНІЧНОЇ ТЕПЛОФІЗИКИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",28698.2,20766.8,4753.3,3178.1,0,419,291,121,7,38,37,21,14,17,29,31,35,29,33,"технічні",170,25520.1,134,157
"ІНСТИТУТ ВІДНОВЛЮВАНОЇ ЕНЕРГЕТИКИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",15012,11530.1,2646.2,0,835.7,146,80,30,4,13,6,8,4,2,9,5,9,14,6,"технічні",50,14176.3,37,43
"ІНСТИТУТ ГЕОТЕХНІЧНОЇ МЕХАНІКИ ІМ.М.С.ПОЛЯКОВА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Днепр",22620.4,17667.7,1997.3,2955.4,0,351,219,99,5,17,14,19,13,11,12,33,28,32,35,"технічні",120,19665,79,140
"ДЕРЖАВНЕ ПІДПРИЇМСТВО ""СПЕЦІАЛЬНЕ КОНСТРУКТОРСЬКО-ТЕХНОЛОГІЧНЕ БЮРО ІНСТИТУТУ ГЕОТЕХНІЧНОЇ МЕХАНІКИ ІМ. М.С.ПОЛЯКОВА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","Днепр",2644,0,2644,0,0,31,1,0,0,0,0,0,0,0,0,0,0,1,0,"технічні",1,2644,0,1
"ІНСТИТУТ ФІЗИКИ ГІРНИЧИХ ПРОЦЕСІВ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Днепр",3193.6,2811.1,382.5,0,0,27,17,7,0,1,1,1,2,0,1,0,5,4,2,"технічні",10,3193.6,5,12
"ІНСТИТУТ ЯДЕРНИХ ДОСЛІДЖЕНЬ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",59120.2,52039,6714.6,0,366.6,623,443,146,18,34,39,25,32,28,36,51,47,52,81,"технічні",297,58753.6,176,267
"НАУКОВО-ТЕХНІЧНА УСТАНОВА ""ІНСТИТУТ ХІМІЧНОЇ ТЕХНОЛОГІЇ ТА ПРОМИСЛОВОЇ ЕКОЛОГІЇ""","Запорожье",244.1,0,29,0,215.1,2,2,2,0,0,0,0,1,0,1,0,0,0,0,"технічні",0,29,1,1
"ДЕРЖАВНЕ ПІДПРИЇМСТВО ""СПЕЦІАЛЬНЕ КОНСТРУКТОРСЬКО-ТЕХНОЛОГІЧНЕ БЮРО З ДОСЛІДНИМ ВИРОБНИЦТВОМ ФІЗИКО-ХІМІЧНОГО ІНСТИТУТУ ІМ. О.В. БОГАТСЬКОГО НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","Одесса",2959.9,0,0,1835.7,1124.2,22,3,2,0,0,0,1,0,0,0,0,0,2,0,"технічні",1,0,1,2
"ІНСТИТУТ ТРАНСПОРТНИХ СИСТЕМ І ТЕХНОЛОГІЙ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Днепр",7285.9,6124.5,1081.5,0,79.9,103,81,29,2,9,14,4,3,7,4,3,9,11,15,"технічні",52,7206,39,42
"ІНСТИТУТ УКРАЇНОЗНАВСТВА ІМ. І.КРИП'ЯКЕВИЧА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Львов",4676.7,4676.7,0,0,0,100,69,27,0,10,13,8,6,6,6,8,3,4,5,"гуманітарні",42,4676.7,43,26
"ІНСТИТУТ ІСТОРІЇ УКРАЇНИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",16087.1,15746.1,341,0,0,209,149,68,0,7,20,19,19,23,17,15,17,7,5,"гуманітарні",81,16087.1,88,61
"ІНСТИТУТ СХОДОЗНАВСТВА ІМ. А.Ю. КРИМСЬКОГО НАЦІОНАЛЬНІЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",3559.9,3452.1,55.7,0,52.1,48,29,13,0,3,3,4,7,5,5,0,1,0,1,"гуманітарні",16,3507.8,22,7
"ЦЕНТР ПАМ'ЯТКОЗНАВСТВА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ І УКРАІНСЬКОГО ТОВАРИСТВА ОХОРОНИ ПАМ'ЯТОК ІСТОРІЇ ТА КУЛЬТУРИ","Киев",733,559.6,173.4,0,0,12,9,5,0,1,1,1,0,0,3,0,2,0,1,"гуманітарні",4,733,3,6
"ОДЕСЬКИЙ АРХЕОЛОГІЧНИЙ МУЗЕЙ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Одесса",1556.6,1371.1,185.5,0,0,54,14,8,0,0,1,0,0,1,2,4,4,1,1,"гуманітарні",6,1556.6,2,12
"ДОЧІРНЇ ПІДПРИЇМСТВО  ""КУЛЬТУРНА СПАДЩИНА ПРИКАРПАТТЯ"" ДЕРЖАВНОГО ПІДПРИЇМСТВА ""НАУКОВО-ДОСЛІДНИЙ ЦЕНТР ""ОХОРОННА АРХЕОЛОГІЧНА СЛУЖБА УКРАЇНИ"" ІНСТИТУТУ АРХЕОЛОГІЇ НАН УКРА","Ивано-Франковск",106.5,0,106.5,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,"гуманітарні",1,106.5,0,1
"НАУКОВО-ДОСЛІДНИЙ ЦЕНТР ""РЯТІВНА АРХЕОЛОГІЧНА СЛУЖБА"" ІНСТИТУТУ АРХЕОЛОГІЇ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Львов",1905.6,0,882.1,690.6,332.9,16,12,1,0,6,0,3,3,0,0,0,0,0,0,"гуманітарні",11,882.1,12,0
"НАЦІОНАЛЬНИЙ ІСТОРИКО-АРХЕОЛОГІЧНИЙ ЗАПОВІДНИК ""ОЛЬВІЯ"" НАН УКРАЇНИ","Николаев",833.3,695.4,137.9,0,0,25,2,1,0,0,1,0,0,0,0,0,1,0,0,"гуманітарні",1,833.3,1,1
"ДОЧІРНЇ ПІДПРИЇМСТВО ""СЛОБІДСЬКА АРХЕОЛОГІЧНА СЛУЖБА"" ДЕРЖАВНОГО ПІДПРИЇМСТВА ""НАУКОВО-ДОСЛІДНИЙ ЦЕНТР ""ОХОРОННА АРХЕОЛОГІЧНА СЛУЖБА УКРАЇНИ"" ІНСТИТУТУ АРХЕОЛОГІЇ НАН УКРА","Харьков",534,534,0,0,0,2,2,2,0,0,2,0,0,0,0,0,0,0,0,"гуманітарні",0,534,2,0
"ІНСТИТУТ АРХЕОЛОГІЇ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",17055.7,15245.1,1810.6,0,0,216,139,54,0,11,20,17,15,13,15,16,12,15,5,"гуманітарні",85,17055.7,76,63
"ІНСТИТУТ НАРОДОЗНАВСТВА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Львов",10056,8930.5,1125.5,0,0,171,85,56,0,11,8,10,14,10,11,5,4,7,5,"гуманітарні",29,10056,53,32
"ВІДДІЛЕННЯ КЕРАМОЛОГІЇ ІНСТИТУТУ НАРОДОЗНАВСТВА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Полтава",672.2,672.2,0,0,0,3,3,0,0,0,1,0,0,1,0,1,0,0,0,"гуманітарні",3,672.2,2,1
"ІНСТИТУТ УКРАІНСЬКОЇ АРХЕОГРАФІЇ ТА ДЖЕРЕЛОЗНАВСТВА ІМ.М.С.ГРУШЕВСЬКОГО НАН УКРАЇНИ","Киев",6538.1,6144.6,393.5,0,0,115,77,38,0,5,12,11,10,11,10,6,5,6,1,"гуманітарні",39,6538.1,49,28
"ЛЬВІВСЬКА НАЦІОНАЛЬНА НАУКОВА БІБЛІОТЕКА УКРАЇНИ ІМЕНІ В.СТЕФАНИКА","Львов",5791.1,0,5791.1,0,0,80,77,59,0,4,9,9,8,8,11,12,5,6,5,"гуманітарні",18,5791.1,38,39
"НАЦІОНАЛЬНА БІБЛІОТЕКА УКРАЇНИ ІМЕНІ В.І.ВЕРНАДСЬКОГО","Киев",39350.5,0,600,38750.5,0,896,525,415,3,50,53,63,70,69,62,60,48,33,14,"гуманітарні",110,600,308,217
"ДЕРЖАВНА УСТАНОВА ""ІНСТИТУТ ІВАНА ФРАНКА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","Львов",1738.5,1515.5,223,0,0,31,23,15,0,5,3,7,0,3,3,2,0,0,0,"гуманітарні",8,1738.5,18,5
"ІНСТИТУТ ЛІТЕРАТУРИ ІМ. Т.Г.ШЕВЧЕНКА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",10366.8,10366.8,0,0,0,113,88,59,0,10,6,12,16,10,6,4,9,10,5,"гуманітарні",29,10366.8,54,34
